filename,coarse_to_fine,seed,search_func,init_reduced,LBFGS_max_iter,LBFGS_max_eval,LBFGS_history_size,learning_rate,synth_iter,loss,synth_duration
fig4a,True,1,None,True,20,0.5,10,1.0,759,0.0007286423933692,23:14
fig4a,False,0,strong_wolfe,True,40,,100,1.0,205,0.0002932425995822,27:50
fig16b,False,0,strong_wolfe,False,10,1.0,3,1.0,590,0.0004391729598864,20:52
fig16b,False,0,None,True,20,1.0,100,1.0,298,0.0003361584676895,20:54
fig4a,True,0,None,True,20,0.5,3,0.01,631,0.01303740311414,22:04
fig4a,False,0,strong_wolfe,False,40,0.5,100,1.0,427,0.0004003363428637,30:00
fig16b,False,1,strong_wolfe,True,20,,10,1.0,301,0.0002723907819017,23:36
fig16b,False,0,None,False,5,1.0,10,0.01,2001,0.0047487756237387,34:35
fig4a,True,0,None,True,10,0.5,3,0.01,918,0.0072715240530669,15:44
fig4a,True,1,None,True,40,0.5,10,0.01,346,0.0123740630224347,22:00
fig16b,True,1,None,True,5,0.5,10,1.0,2001,0.0042375796474516,13:21
fig4a,False,1,strong_wolfe,False,40,1.0,3,0.01,659,0.0005344469100236,1:20:14
fig16b,False,0,None,False,5,,3,0.01,2001,0.0020070823375135,35:07
fig16b,False,0,None,False,10,1.0,100,0.01,1198,0.001872181543149,36:54
fig4a,False,1,strong_wolfe,True,40,0.5,3,0.01,811,0.0007443661452271,55:59
fig4a,True,1,strong_wolfe,True,20,0.5,100,1.0,650,0.0005369415739551,22:40
fig4a,True,1,None,True,5,1.0,100,1.0,937,0.0014376011677086,16:31
fig4a,True,1,None,False,10,0.5,10,1.0,1541,0.0028787944465875,26:31
fig16b,True,0,strong_wolfe,True,20,1.0,10,1.0,442,0.0004405777144711,30:48
fig4a,True,1,strong_wolfe,False,20,0.5,3,0.01,1634,0.0013935746392235,58:31
fig4a,False,0,strong_wolfe,False,5,1.0,10,1.0,1283,0.0010413415729999,22:28
fig4a,True,1,strong_wolfe,True,5,1.0,3,1.0,1290,0.0022260113619267,22:51
fig16b,False,0,strong_wolfe,False,40,,3,1.0,201,0.0002057584933936,30:24
fig4a,True,0,strong_wolfe,True,40,,10,1.0,234,0.0003135970910079,36:20
fig4a,False,0,strong_wolfe,False,40,,10,1.0,235,0.0003127770323771,35:29
fig4a,True,0,None,True,5,1.0,100,1.0,1020,0.0012002702569589,17:18
fig4a,False,1,None,True,5,,10,1.0,1560,0.0022319804411381,24:56
fig4a,False,1,strong_wolfe,True,40,,10,1.0,211,0.0003162081120535,32:16
fig4a,True,0,None,False,5,0.5,10,0.01,2001,0.054721362888813,13:34
fig16b,False,1,strong_wolfe,True,20,,100,0.01,839,0.0003842169826384,1:03:07
fig4a,True,1,None,False,5,0.5,3,0.01,52,11.85705280303955,00:22
fig16b,False,1,None,False,5,0.5,10,1.0,1953,0.0044474150054156,13:04
fig4a,False,1,strong_wolfe,False,5,0.5,3,0.01,2001,0.0370774641633033,19:54
fig16b,False,1,strong_wolfe,True,20,,3,1.0,301,0.0002723907819017,23:56
fig4a,True,0,None,True,40,,10,1.0,296,0.0002261188201373,40:10
fig16b,True,1,None,True,20,,100,1.0,416,0.0002343351807212,29:21
fig4a,True,0,strong_wolfe,False,5,0.5,3,1.0,2001,0.0093068024143576,13:53
fig4a,True,0,None,True,10,1.0,100,1.0,776,0.0006213506567291,23:41
fig4a,False,0,None,True,40,,3,0.01,167,0.0073394398204982,23:10
fig16b,True,0,strong_wolfe,False,40,1.0,10,0.01,574,0.0004942213417962,1:16:48
fig4a,True,1,strong_wolfe,True,5,1.0,10,1.0,1290,0.0022260113619267,22:33
fig16b,False,0,None,True,5,,100,1.0,655,0.0007772631361149,11:38
fig4a,True,1,None,True,10,0.5,100,1.0,937,0.0014376011677086,16:13
fig4a,False,0,strong_wolfe,True,40,,10,1.0,205,0.0002932425995822,31:37
fig4a,False,0,None,False,20,,100,0.01,658,0.0023137603420764,45:41
fig16b,True,0,None,False,5,,10,1.0,1240,0.0005901985568925,21:54
fig16b,False,1,strong_wolfe,False,40,0.5,3,0.01,995,0.0005807190318591,58:23
fig4a,False,0,strong_wolfe,False,40,0.5,3,0.01,898,0.0009698116336949,1:00:01
fig16b,False,1,None,True,40,,3,0.01,212,0.0040441551245749,29:55
fig4a,False,0,strong_wolfe,True,5,0.5,3,0.01,2001,0.0065753418020904,22:52
fig16b,True,1,None,True,10,1.0,3,0.01,942,0.0022075513843446,32:55
fig4a,False,1,None,False,40,1.0,100,0.01,342,0.0113023202866315,44:07
fig16b,True,0,strong_wolfe,True,5,1.0,100,0.01,1830,0.0015937227290123,36:52
fig4a,True,1,None,True,10,1.0,100,1.0,759,0.0007286423933692,26:28
fig4a,False,0,strong_wolfe,True,40,1.0,10,0.01,468,0.0005239674937911,1:01:40
fig16b,True,0,strong_wolfe,False,20,1.0,3,1.0,418,0.000432184402598,29:30
fig16b,False,0,None,True,20,,10,1.0,288,0.0003297714865766,20:13
fig16b,True,0,None,True,5,0.5,10,1.0,2001,0.0134669067338109,11:52
fig4a,True,0,None,True,10,1.0,3,1.0,776,0.0006213506567291,24:14
fig4a,True,0,None,True,10,1.0,3,0.01,631,0.01303740311414,20:06
fig4a,False,0,strong_wolfe,True,10,1.0,100,1.0,604,0.0005790098803117,21:10
